threshold,accuracy,precision,recall,f1
0.05,0.9191919191919192,0.125,0.5,0.2
0.1,0.9494949494949495,0.0,0.0,0.0
0.15,0.9494949494949495,0.0,0.0,0.0
0.2,0.9696969696969697,0.0,0.0,0.0
0.25,0.9696969696969697,0.0,0.0,0.0
0.3,0.9797979797979798,0.0,0.0,0.0
0.35,0.9797979797979798,0.0,0.0,0.0
0.39999999999999997,0.9797979797979798,0.0,0.0,0.0
0.44999999999999996,0.9797979797979798,0.0,0.0,0.0
0.49999999999999994,0.9797979797979798,0.0,0.0,0.0
0.5499999999999999,0.9797979797979798,0.0,0.0,0.0
0.6,0.9797979797979798,0.0,0.0,0.0
0.65,0.9797979797979798,0.0,0.0,0.0
0.7,0.9797979797979798,0.0,0.0,0.0
0.75,0.9797979797979798,0.0,0.0,0.0
0.7999999999999999,0.9797979797979798,0.0,0.0,0.0
0.85,0.9797979797979798,0.0,0.0,0.0
0.9,0.9797979797979798,0.0,0.0,0.0
0.95,0.9797979797979798,0.0,0.0,0.0
