team,source
Argentina,assumed
Argentina Report Mac Allister,assumed
Australia,assumed
Australia Report Duke,assumed
Belgium,assumed
Belgium Report Ahmad bin Ali Stadium,assumed
Brazil,assumed
Cameroon,assumed
Costa Rica Report Fuller,assumed
Croatia,assumed
Croatia Report Al Bayt Stadium,assumed
Ecuador Report Valencia,assumed
England,assumed
England Report Rashford,assumed
France,assumed
France Kane,assumed
Germany Tejeda,assumed
Ghana Cho Gue-sung,assumed
Iran Report Cheshmi,assumed
Japan,assumed
Japan G,assumed
Messi Paredes Montiel Fern,assumed
Mexico S. Al-Dawsari,assumed
Morocco,assumed
Morocco Aguerd,assumed
Morocco Report Sa,assumed
Netherlands,assumed
Netherlands Report Gakpo,assumed
Penalties Messi Dybala Paredes Montiel,assumed
Poland,assumed
Poland Report Stadium,assumed
Portugal,assumed
Saudi Arabia Messi,assumed
Senegal Caicedo,assumed
Senegal Muntari,assumed
Serbia Castelletto,assumed
South Korea,assumed
South Korea Report Education City Stadium,assumed
Spain,assumed
Spain Report Penalties Sabiri Ziyech Benoun Hakimi,assumed
Switzerland,assumed
Switzerland A. Mitrovi,assumed
Tunisia,assumed
United States Report Al Bayt Stadium,assumed
United States Report Pulisic,assumed
Uruguay Report De Arrascaeta,assumed
Vla,assumed
Wales Weah,assumed
